class,spell_id,name,rank,school,cast_type,visual_id,precast_kit,precast_animation,precast_models,cast_kit,cast_animation,cast_models,impact_kit,impact_animation,impact_models,state_kit,state_animation,state_models,channel_kit,channel_animation,channel_models,missile_model,coverage
"Mage",10,"Blizzard","Rank 1",4,CHANNEL,259,197,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",5390,125,"patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",413,,"patch.MPQ:Spells\Blizzard_Impact_Base.m2",0,,"",717,125,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2","",MEASURED
"Mage",116,"Frostbolt","Rank 1",4,CAST_TIME,13,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",202,53,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","patch.MPQ:Spells\Frostbolt.m2",MEASURED
"Mage",118,"Polymorph","Rank 1",6,CAST_TIME,131,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",730,53,"patch.MPQ:Spells\Magic_Cast_Hand.m2",230,,"patch.MPQ:Spells\Polymorph_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",120,"Cone of Cold","Rank 1",4,INSTANT,1007,195,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",1027,53,"patch.MPQ:Spells\ConeofCold_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","",MEASURED
"Mage",122,"Frost Nova","Rank 1",4,INSTANT,17,195,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",160,54,"patch.MPQ:Spells\Frost_Nova_area.m2",0,,"",285,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","",MEASURED
"Mage",130,"Slow Fall","",6,INSTANT,63,99,52,"patch.MPQ:Spells\Holy_Precast_Low_Hand.m2",270,54,"patch.MPQ:Spells\Holy_Precast_Low_Hand.m2",431,,"patch.MPQ:Spells\HolyLight_Impact_Head.m2",0,,"",0,,"","",MEASURED
"Mage",133,"Fireball","Rank 1",2,CAST_TIME,67,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",286,9,"patch.MPQ:Spells\MoltenBlast_Impact_Chest.m2",0,,"",0,,"","patch.MPQ:Spells\Fireball_Missile_Low.m2",MEASURED
"Mage",143,"Fireball","Rank 2",2,CAST_TIME,67,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",286,9,"patch.MPQ:Spells\MoltenBlast_Impact_Chest.m2",0,,"",0,,"","patch.MPQ:Spells\Fireball_Missile_Low.m2",MEASURED
"Mage",145,"Fireball","Rank 3",2,CAST_TIME,67,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",286,9,"patch.MPQ:Spells\MoltenBlast_Impact_Chest.m2",0,,"",0,,"","patch.MPQ:Spells\Fireball_Missile_Low.m2",MEASURED
"Mage",168,"Frost Armor","Rank 1",4,INSTANT,124,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",203,54,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",222,,"patch.MPQ:Spells\FrostArmor_Low_Head.m2",0,,"",0,,"","",MEASURED
